Normalized_Weather,Severity,accident_count,avg_Severity,avg_Start_Lat,avg_Start_Lng,avg_Distance(mi),avg_Temperature(F),avg_Wind_Chill(F),avg_Humidity(%),avg_Pressure(in),avg_Visibility(mi),avg_Wind_Speed(mph),avg_Precipitation(in),avg_day_of_week_num,avg_duration_minutes,count_true_Amenity,count_true_Bump,count_true_Crossing,count_true_Give_Way,count_true_Junction,count_true_No_Exit,count_true_Railway,count_true_Roundabout,count_true_Station,count_true_Stop,count_true_Traffic_Calming,count_true_Traffic_Signal,count_true_Turning_Loop,count_true_rush_hour,count_true_twilight
Dust/Sand,4,16,4.0,40.081330002865506,-110.49168005309994,1.26275000923872,66.85,64.15384615384616,33.5,27.689375000000002,7.25,28.8125,0.0,4.125,352.8697916666667,0,0,1,0,3,0,0,0,0,1,0,2,0,6,0
Volcanic Ash,2,20,2.0,34.04942455,-108.23207264999999,0.048999999977648256,79.08421052631579,,44.1578947368421,29.984500000000004,9.85,,,4.9,97.26166666666667,0,0,3,0,0,0,0,0,0,0,0,5,0,7,0
Ice Pellets,4,9,4.0,40.86428088888889,-76.03175155555556,1.5935555555555556,31.299999999999997,21.677777777777774,83.0,29.790000000000003,4.277777777777778,14.333333333333334,0.02,3.6666666666666665,286.54999999999995,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
Tornado,3,3,3.0,30.375755,-83.486519,0.0,78.96666666666667,64.0,73.0,29.900000000000002,10.0,7.533333333333334,0.0,3.0,50.416666666666664,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
Sleet,1,4,1.0,39.4468875,-94.0396925,0.001,27.5,17.0,91.75,28.2375,4.75,13.0,0.0025,5.5,60.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Dust/Sand,1,11,1.0,32.90579454545454,-104.61413272727272,0.0,78.0,78.0,17.818181818181817,26.10818181818182,4.181818181818182,26.181818181818183,0.0,6.0,59.07878787878788,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0
Volcanic Ash,3,2,3.0,29.608540500000004,-98.613392,0.0,82.4,,64.5,30.020000000000003,10.0,,,5.0,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Smoke,1,8,1.0,37.766700375,-113.12126774999999,0.3037500083446502,85.95,85.42857142857143,21.375,28.20375,7.5,5.1,0.0,3.0,43.75416666666667,0,0,2,0,1,0,0,0,0,0,0,3,0,7,0
Tornado,1,1,1.0,39.817871000000004,-84.386131,0.0,76.0,76.0,82.0,28.64,10.0,20.0,0.0,4.0,29.633333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tornado,4,2,4.0,28.765769499999998,-81.2353695,0.588,83.5,83.0,80.0,30.03,10.0,11.5,0.05,6.0,5562.983333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A Precipitation,1,1,1.0,45.378429,-93.56433100000001,0.0,59.0,59.0,88.0,28.55,5.0,18.0,0.0,3.0,80.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Freezing Rain,1,1,1.0,38.31554000000001,-85.820786,0.0,28.9,21.1,92.0,30.16,2.0,8.1,0.0,4.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
